expected,file,dominant,total_votes,expected_votes,expected_share,dominant_margin,off_target_votes
NORMAL,raw_test_normal_000.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_001.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_002.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_003.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_004.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_005.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_006.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_007.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_008.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_009.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_010.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_011.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_012.csv,NORMAL,261,261,1.0,1.0,0
NORMAL,raw_test_normal_013.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_014.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_015.csv,NORMAL,147,147,1.0,1.0,0
NORMAL,raw_test_normal_016.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_017.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_018.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_019.csv,NORMAL,147,147,1.0,1.0,0
NORMAL,raw_test_normal_020.csv,NORMAL,261,261,1.0,1.0,0
NORMAL,raw_test_normal_021.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_022.csv,NORMAL,259,259,1.0,1.0,0
NORMAL,raw_test_normal_023.csv,NORMAL,260,260,1.0,1.0,0
NORMAL,raw_test_normal_024.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_025.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_026.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_027.csv,NORMAL,147,147,1.0,1.0,0
NORMAL,raw_test_normal_028.csv,NORMAL,261,261,1.0,1.0,0
NORMAL,raw_test_normal_029.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_030.csv,NORMAL,261,261,1.0,1.0,0
NORMAL,raw_test_normal_031.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_032.csv,NORMAL,260,260,1.0,1.0,0
NORMAL,raw_test_normal_033.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_034.csv,NORMAL,147,147,1.0,1.0,0
NORMAL,raw_test_normal_035.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_036.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_037.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_038.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_039.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_040.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_041.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_042.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_043.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_044.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_045.csv,NORMAL,260,260,1.0,1.0,0
NORMAL,raw_test_normal_046.csv,NORMAL,260,260,1.0,1.0,0
NORMAL,raw_test_normal_047.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_048.csv,NORMAL,148,148,1.0,1.0,0
NORMAL,raw_test_normal_049.csv,NORMAL,148,148,1.0,1.0,0
LIGHT,raw_test_light_000.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_001.csv,LIGHT,267,264,0.9887640449438202,0.9775280898876404,3
LIGHT,raw_test_light_002.csv,LIGHT,266,263,0.9887218045112782,0.9774436090225563,3
LIGHT,raw_test_light_003.csv,LIGHT,267,265,0.9925093632958801,0.9850187265917603,2
LIGHT,raw_test_light_004.csv,LIGHT,266,266,1.0,1.0,0
LIGHT,raw_test_light_005.csv,LIGHT,267,260,0.9737827715355806,0.947565543071161,7
LIGHT,raw_test_light_006.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_007.csv,LIGHT,265,262,0.9886792452830189,0.9773584905660377,3
LIGHT,raw_test_light_008.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_009.csv,LIGHT,267,266,0.9962546816479401,0.9925093632958801,1
LIGHT,raw_test_light_010.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_011.csv,LIGHT,267,262,0.9812734082397003,0.9625468164794008,5
LIGHT,raw_test_light_012.csv,LIGHT,266,266,1.0,1.0,0
LIGHT,raw_test_light_013.csv,LIGHT,266,264,0.9924812030075187,0.9849624060150376,2
LIGHT,raw_test_light_014.csv,LIGHT,266,266,1.0,1.0,0
LIGHT,raw_test_light_015.csv,LIGHT,267,264,0.9887640449438202,0.9775280898876404,3
LIGHT,raw_test_light_016.csv,LIGHT,265,265,1.0,1.0,0
LIGHT,raw_test_light_017.csv,LIGHT,267,261,0.9775280898876404,0.9550561797752809,6
LIGHT,raw_test_light_018.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_019.csv,LIGHT,267,264,0.9887640449438202,0.9775280898876404,3
LIGHT,raw_test_light_020.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_021.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_022.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_023.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_024.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_025.csv,LIGHT,267,264,0.9887640449438202,0.9775280898876404,3
LIGHT,raw_test_light_026.csv,LIGHT,266,263,0.9887218045112782,0.9774436090225563,3
LIGHT,raw_test_light_027.csv,LIGHT,267,262,0.9812734082397003,0.9625468164794008,5
LIGHT,raw_test_light_028.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_029.csv,LIGHT,266,265,0.9962406015037594,0.9924812030075187,1
LIGHT,raw_test_light_030.csv,LIGHT,266,264,0.9924812030075187,0.9849624060150376,2
LIGHT,raw_test_light_031.csv,LIGHT,267,265,0.9925093632958801,0.9850187265917603,2
LIGHT,raw_test_light_032.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_033.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_034.csv,LIGHT,266,266,1.0,1.0,0
LIGHT,raw_test_light_035.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_036.csv,LIGHT,267,263,0.9850187265917603,0.9700374531835206,4
LIGHT,raw_test_light_037.csv,LIGHT,267,267,1.0,1.0,0
LIGHT,raw_test_light_038.csv,LIGHT,266,259,0.9736842105263158,0.9473684210526315,7
LIGHT,raw_test_light_039.csv,LIGHT,267,265,0.9925093632958801,0.9850187265917603,2
