序号,时间(s),电压,阻抗
1,0.099,-0.4559903752386015,6828.228516
2,0.224,-0.654374370609182,6828.471191
3,0.349,-0.7787156170221861,6827.255859
4,0.474,-0.8540192021900045,6828.716309
5,0.599,-0.8516227219162688,6828.085449
6,0.724,-0.7889940488440921,6827.957031
7,0.849,-0.7044724548967768,6829.145508
8,0.974,-0.6288707827881409,6829.390137
9,1.099,-0.587947425843939,6828.329102
10,1.224,-0.5883389581136726,6829.303223
11,1.349,-0.6213722923521151,6829.488281
12,1.474,-0.6435732138700613,6829.790527
13,1.599,-0.6753166685607908,6829.763184
14,1.724,-0.6767360348835149,6828.512695
15,1.849,-0.6857536855854179,6829.244141
16,1.974,-0.6710531272963727,6828.486816
17,2.099,-0.6917515370511301,6827.295898
18,2.224,-0.7030957539383432,6827.625977
19,2.349,-0.7201085516123884,6827.741211
20,2.474,-0.7110307918994563,6828.600098
21,2.599,-0.6793210254411012,6827.813477
22,2.724,-0.6561638074175886,6827.997559
23,2.849,-0.6271522091879729,6828.35791
24,2.974,-0.6471992070421297,6828.629395
25,3.099,-0.734757376453951,6828.814941
26,3.224,-0.8601724532377611,6828.229004
27,3.35,-1.0022334042660088,6829.475098
28,3.474,-1.11050131888293,6827.928711
29,3.599,-1.1472707802598103,6828.715332
30,3.723,-1.018864309904829,6828.443848
31,3.849,-0.872665669987314,6827.683105
32,3.973,-0.7034084015791812,6827.040039
33,4.099,-0.524754322420441,6826.310547
34,4.223,-0.4711227016007639,6825.765137
35,4.348,-0.4592382970716744,6826.396484
36,4.474,-0.49487858513680055,6826.396973
37,4.599,-0.5572586633506679,6826.667969
38,4.724,-0.6013037971575441,6825.666504
39,4.848,-0.6120432579340566,6825.764648
40,4.973,-0.610239827081935,6826.824707
41,5.099,-0.596840820215132,6825.636719
42,5.224,-0.5872354783313091,6826.153809
43,5.348,-0.5741590625354989,6826.338867
44,5.473,-0.5532930517129788,6826.009766
45,5.599,-0.5554662967736287,6826.795898
46,5.724,-0.5137762024904203,6826.251953
47,5.85,-0.5147816135728426,6825.736816
48,5.973,-0.50013376677019,6825.550293
49,6.099,-0.5036550962262981,6826.410156
50,6.224,-0.5213056534596052,6825.736816
51,6.349,-0.5217644921674385,6825.278809
52,6.473,-0.45270910019366645,6825.550293
53,6.599,-0.4259707438802218,6825.092285
54,6.723,-0.36477648939659946,6824.490234
55,6.849,-0.3566640061019135,6824.763184
56,6.974,-0.36389715050602284,6825.092773
57,7.099,-0.41379622033387725,6825.521484
58,7.224,-0.47675389958006487,6824.948242
59,7.349,-0.5319280078070893,6824.731934
60,7.473,-0.5747035845189918,6825.07666
61,7.598,-0.5737650210011209,6823.67334
62,7.723,-0.5776321835445699,6824.404297
63,7.849,-0.5646376865556513,6821.629395
64,7.974,-0.5717898371901649,6820.901855
65,8.099,-0.6517947406780437,6822.816406
66,8.224,-0.7203432239538483,6822.202637
67,8.349,-0.7958266388198969,6821.786621
68,8.473,-0.8850656507964396,6822.086426
69,8.599,-0.9692507410416544,6821.958496
70,8.723,-0.9987662314199947,6821.602051
71,8.849,-1.0139403699329257,6820.986816
72,8.974,-1.0113195680628713,6820.384766
73,9.098,-1.004457832199335,6821.472168
74,9.225,-0.9846196092259557,6821.444336
75,9.348,-0.9478433211813015,6820.97168
76,9.475,-0.9047209223026309,6821.115234
77,9.598,-0.8845329518086757,6820.87207
78,9.724,-0.853665190405472,6819.626953
79,9.848,-0.8379599491796864,6820.599609
80,9.973,-0.8435493257549636,6820.11377
81,10.099,-0.8508796365340174,6820.657227
82,10.223,-0.8458685441634193,6820.114258
83,10.349,-0.8420680079262972,6822.35791
84,10.473,-0.8118188336178903,6821.542969
85,10.598,-0.7872695366496321,6821.115234
86,10.724,-0.7656243458220499,6821.328613
87,10.848,-0.7549223962166756,6822.27002
88,10.973,-0.7707402407082229,6821.728516
89,11.099,-0.7696144256890143,6821.45752
90,11.223,-0.7722759318421301,6820.326172
91,11.349,-0.7893871412153273,6821.515625
92,11.473,-0.7824993267638708,6821.600586
93,11.599,-0.7930999604354478,6821.571777
94,11.723,-0.8383521334356413,6821.370605
95,11.848,-0.8790057292907474,6821.328613
96,11.973,-0.9021238241055223,6820.785156
97,12.098,-0.9165536280477065,6821.241699
98,12.223,-0.8725713949399627,6821.48584
99,12.348,-0.802740843375073,6821.571777
100,12.473,-0.7402532764942265,6822.057617
101,12.598,-0.6635677269199651,6820.483887
102,12.723,-0.6146555685800223,6821.328613
103,12.848,-0.5983808699516823,6821.786621
104,12.973,-0.5906309361758554,6821.057129
105,13.098,-0.5605129712738942,6821.398926
106,13.223,-0.573516804523817,6821.728516
107,13.348,-0.5530798241113545,6821.187012
108,13.473,-0.5972742032221788,6821.057129
109,13.599,-0.597903503868248,6821.758301
110,13.723,-0.6174776728755701,6820.542969
111,13.848,-0.6294391210615884,6820.699707
112,13.973,-0.5789975832997593,6822.001953
113,14.098,-0.5363152006890907,6821.48584
114,14.223,-0.45908836223970473,6822.299805
115,14.348,-0.4189232183264474,6820.970215
116,14.473,-0.40900328359786364,6820.027344
117,14.599,-0.4969169967045845,6820.998535
118,14.723,-0.6678956169583308,6822.945313
119,14.848,-0.8089088216882946,6822.758789
120,14.973,-0.9638075542154759,6823.702637
121,15.098,-0.9926077621382136,6823.860352
122,15.223,-0.8525768594274166,6824.375488
123,15.348,-0.7299174211333372,6824.861328
124,15.473,-0.5404671812190353,6824.102539
125,15.598,-0.3893760343846978,6820.098145
126,15.723,-0.31157140001340117,6821.728027
127,15.848,-0.25038369533238736,6819.026367
128,15.973,-0.26228089788788617,6820.786133
129,16.098,-0.283859553084619,6819.882813
130,16.223,-0.3069235395229772,6820.970215
131,16.348,-0.34761019569859825,6822.072754
132,16.473,-0.3565791125883696,6821.069824
133,16.598,-0.3735202316570752,6821.486328
134,16.723,-0.3717986636101909,6821.18457
135,16.849,-0.402823791845055,6820.456055
136,16.973,-0.40115136490733555,6820.940918
137,17.098,-0.4338809239059802,6820.341309
138,17.223,-0.452964679394428,6819.697754
139,17.348,-0.4752614736438068,6820.42627
140,17.473,-0.4862596926965229,6819.425781
141,17.599,-0.4923496487614211,6819.339355
