序号,时间(s),电压,阻抗
1,0.105,1.022719225527192,7298.945313
2,0.231,1.3071632251960486,7299.219238
3,0.357,1.4205213378362733,7296.679199
4,0.483,1.5452869065072852,7300.649414
5,0.609,1.5231376892843722,7300.03125
6,0.735,1.4433719840924415,7295.272949
7,0.861,1.4231391989638018,7299.366211
8,0.987,1.4071194367463467,7301.156738
9,1.113,1.438251155551241,7301.358398
10,1.239,1.462984156184843,7296.557617
11,1.365,1.4938651103476976,7298.412109
12,1.491,1.5018814220444,7298.316895
13,1.617,1.5879107869850375,7300.446777
14,1.743,1.5989277556472072,7301.178223
15,1.869,1.6909922808887494,7298.000977
16,1.995,1.708179260742416,7298.183594
17,2.121,1.7367014936869676,7296.200684
18,2.247,1.7058385059619985,7298.825195
19,2.373,1.6394912550767784,7297.307617
20,2.499,1.440054261634507,7297.415039
21,2.625,1.2423205484540973,7303.870117
22,2.751,1.035242868398801,7292.321777
23,2.877,0.8771725454583522,7297.672363
24,3.003,0.7762731339530805,7299.144531
25,3.129,0.899676870979843,7296.225098
26,3.255,1.0122527893290905,7305.391113
27,3.381,1.3429343844314228,7299.148926
28,3.507,1.6535485804635113,7300.689453
29,3.633,2.1242776206425993,7299.584961
30,3.759,2.5614840334117837,7298.411621
31,3.885,2.827148862318318,7297.30957
32,4.011,2.9202378657781702,7298.987793
33,4.137,2.8995160801239255,7299.451172
34,4.263,2.668682595987735,7296.22998
35,4.389,2.3853236026630866,7298.47168
36,4.515,2.091699741873428,7296.716309
37,4.641,1.717494611560695,7296.084961
38,4.767,1.3190999520191686,7293.741699
39,4.892,0.9900019638476241,7303.068848
40,5.019,0.734188558433713,7296.050781
41,5.145,0.5745682566405752,7296.387207
42,5.271,0.5980439781729733,7298.984863
43,5.396,0.7994512506467049,7300.669434
44,5.523,1.0317371805128273,7299.306641
45,5.648,1.2283209901457828,7295.816406
46,5.775,1.5399196446257626,7296.668457
47,5.9,1.7116783026224063,7294.66748
48,6.026,1.7529353907342307,7299.615234
49,6.153,1.6933429430915639,7299.376465
50,6.279,1.5246114456377278,7293.787109
51,6.405,1.3245594927991298,7297.340332
52,6.531,1.1128480561256864,7296.874023
53,6.657,0.8816046666974744,7302.516113
54,6.783,0.7758677607568919,7296.874023
55,6.909,0.7465714038271525,7292.69043
56,7.034,0.8901856628917436,7297.871582
57,7.161,1.0936075453580136,7298.515137
58,7.287,1.372583247445049,7294.811523
59,7.413,1.5910246690533434,7297.978027
