序号,时间(s),电压,阻抗
1,0.12,0.034329101217036986,7052.291016
2,0.246,-0.02457210100403315,7050.618164
3,0.373,-0.08143541453407675,7050.285156
4,0.498,-0.0631604505461469,7052.678223
5,0.624,-0.0766684511498174,7049.875977
6,0.75,-0.059968748704260416,7051.039063
7,0.876,-0.0601453072823972,7048.565918
8,1.001,-0.15218610536638985,7053.681641
9,1.128,-0.23108179300882262,7047.303711
10,1.254,-0.27831931792768094,7052.671875
11,1.38,-0.32526130943881426,7051.17041
12,1.506,-0.20945956815244288,7051.814453
13,1.632,0.039186583094778765,7054.717285
14,1.758,0.2127951289406517,7048.631348
15,1.884,0.4054090937971853,7051.214355
16,2.01,0.510286736751928,7051.534668
17,2.136,0.4292622573812969,7051.264648
18,2.262,0.2713300693864397,7053.994629
19,2.388,0.0961966586098852,7052.741211
20,2.514,-0.09590030901223456,7051.005859
21,2.639,-0.24372846174641752,7051.92041
22,2.767,-0.3174665284863011,7048.145508
23,2.892,-0.3550265555354301,7053.066895
24,3.018,-0.3716482371953804,7053.454102
25,3.144,-0.3616234153341593,7054.26709
26,3.27,-0.3749064671612725,7055.257324
27,3.395,-0.3937796523823682,7053.314941
28,3.522,-0.410610928569999,7056.332031
29,3.648,-0.40444152900719005,7053.951172
30,3.773,-0.35310462173597834,7062.938477
31,3.9,-0.27777479401380495,7144.370605
32,4.027,-0.17214437850760184,7204.830566
33,4.152,-0.05111203132732826,7233.078613
34,4.278,0.07221417921725376,7231.867188
35,4.404,0.1608356271731874,7227.644531
36,4.529,0.20431850671322188,7239.763672
37,4.656,0.2064908826489572,7242.119629
38,4.781,0.18227778362411307,7232.961426
39,4.908,0.13666448154401656,7223.855469
40,5.034,0.11550055021085309,7260.170898
41,5.16,0.08695152846121551,7260.807617
42,5.285,0.09649658043405641,7254.143066
43,5.412,0.12541832625140475,7254.46582
44,5.538,0.1658076893861259,7254.925293
45,5.664,0.1818465403239571,7257.878418
46,5.79,0.18324177708904912,7239.359863
47,5.916,0.16885646789682687,7262.615723
48,6.042,0.1235696603943917,7249.686035
49,6.168,0.08474474924436372,7254.758301
50,6.293,0.06212236207459388,7268.254395
51,6.42,0.057708576016493214,7256.430664
52,6.546,0.07764177271024628,7293.646973
53,6.671,0.1215353710368008,7258.948242
54,6.798,0.18425688907046356,7271.17627
55,6.923,0.22767742745810232,7261.763672
56,7.05,0.268813937439905,7270.102051
57,7.176,0.2836644511709869,7278.728516
58,7.302,0.2744089143272284,7243.097168
59,7.428,0.2567749433805866,7279.68457
60,7.553,0.2370383797281716,7266.21875
61,7.681,0.22997285406329715,7248.165527
62,7.805,0.22200677600554766,7260.074707
63,7.931,0.2133706947015717,7088.680176
64,8.057,0.18414230838250273,7066.832031
65,8.183,0.1510468477689979,7062.52002
66,8.31,0.09763521233827095,7055.56543
67,8.436,0.03162407134477003,7054.135254
68,8.561,-0.05437315753865679,7058.341309
69,8.687,-0.11658563888501394,7056.368652
70,8.813,-0.18296126473779642,7056.798828
71,8.94,-0.2223455635581736,7056.546387
72,9.066,-0.2351431817420859,7058.852051
73,9.192,-0.24533539508709612,7054.833008
74,9.317,-0.23376633588902007,7055.682617
75,9.443,-0.21403761757693968,7054.035645
76,9.57,-0.20668812576889756,7057.614746
77,9.696,-0.17614591287146714,7057.194824
78,9.821,-0.13328763698314208,7055.07373
79,9.947,-0.06965566608642847,7056.20166
80,10.074,0.0035151310388999795,7057.819336
81,10.199,0.06514704130920089,7055.671875
82,10.326,0.1225910784852085,7058.709961
83,10.452,0.12753542258069112,7053.286621
84,10.577,0.10489200926951779,7056.014648
85,10.704,0.04460834574326099,7055.888672
86,10.83,-0.029238977569767833,7051.522461
87,10.955,-0.09789428998370112,7052.468262
88,11.081,-0.12096564233721373,7054.905762
89,11.208,-0.1343280788016281,7056.102539
90,11.334,-0.0949173993726434,7057.974609
91,11.459,-0.06518185997483816,7057.529785
92,11.585,-0.009567744473575219,7056.706055
93,11.712,0.017862810572103805,7057.67334
94,11.837,0.05711845089025472,7054.664551
95,11.964,0.07548564118095587,7057.13623
96,12.089,0.10823432629483855,7060.202148
97,12.215,0.11683837419216052,7059.936523
98,12.341,0.11031659108524844,7055.868164
99,12.467,0.07657477835351768,7055.02832
