序号,时间(s),电压,阻抗
1,0.099,-0.4585043939595163,6828.228516
2,0.224,-0.6474319574361539,6828.471191
3,0.349,-0.7830904348526376,6827.255859
4,0.474,-0.8526365361963435,6828.716309
5,0.599,-0.845231902806428,6828.085449
6,0.724,-0.7802127090794293,6827.957031
7,0.849,-0.7213221496567392,6829.145508
8,0.974,-0.6411460908826923,6829.390137
9,1.099,-0.5867985086884695,6828.329102
10,1.224,-0.6004014374613745,6829.303223
11,1.349,-0.6157308802562349,6829.488281
12,1.474,-0.6486496726263564,6829.790527
13,1.599,-0.6590040865299608,6829.763184
14,1.724,-0.678171652605463,6828.512695
15,1.849,-0.6884985664890151,6829.244141
16,1.974,-0.6803564032501851,6828.486816
17,2.099,-0.6889295509802624,6827.295898
18,2.224,-0.7083765799389712,6827.625977
19,2.349,-0.7031722172688929,6827.741211
20,2.474,-0.7052834350527382,6828.600098
21,2.599,-0.698760728128152,6827.813477
22,2.724,-0.6382004239997608,6827.997559
23,2.849,-0.6367898562748515,6828.35791
24,2.974,-0.6657812247394309,6828.629395
25,3.099,-0.7489442455894123,6828.814941
26,3.224,-0.8676432779964216,6828.229004
27,3.35,-0.9796181117184378,6829.475098
28,3.474,-1.0782821985821607,6827.928711
29,3.599,-1.1208777511130819,6828.715332
30,3.723,-1.0269596601390618,6828.443848
31,3.849,-0.8582789045834762,6827.683105
32,3.973,-0.6987579900747753,6827.040039
33,4.099,-0.5321377181106288,6826.310547
34,4.223,-0.4691754843042479,6825.765137
35,4.348,-0.45930978234696124,6826.396484
36,4.474,-0.5091822421432978,6826.396973
37,4.599,-0.5522334133758617,6826.667969
38,4.724,-0.6017761183664089,6825.666504
39,4.848,-0.6130974174242265,6825.764648
40,4.973,-0.6047794048112842,6826.824707
41,5.099,-0.6027628383240966,6825.636719
42,5.224,-0.5758047216200087,6826.153809
43,5.348,-0.572544136229444,6826.338867
44,5.473,-0.5428243279738447,6826.009766
45,5.599,-0.5551500476770821,6826.795898
46,5.724,-0.5250015583675546,6826.251953
47,5.85,-0.516089558083606,6825.736816
48,5.973,-0.5167109118998304,6825.550293
49,6.099,-0.5033575553190003,6826.410156
50,6.224,-0.5093727457655183,6825.736816
51,6.349,-0.49554293245532033,6825.278809
52,6.473,-0.47212426487619763,6825.550293
53,6.599,-0.4207828702952793,6825.092285
54,6.723,-0.3626708975629364,6824.490234
55,6.849,-0.36057191923815624,6824.763184
56,6.974,-0.37597772388873,6825.092773
57,7.099,-0.401678164717549,6825.521484
58,7.224,-0.47364033600969735,6824.948242
59,7.349,-0.5376088543984949,6824.731934
60,7.473,-0.563850063740898,6825.07666
61,7.598,-0.5685665176372103,6823.67334
62,7.723,-0.5775817791219708,6824.404297
63,7.849,-0.5673710452713867,6821.629395
64,7.974,-0.5932107070846616,6820.901855
65,8.099,-0.6384011056904577,6822.816406
66,8.224,-0.7356828510645578,6822.202637
67,8.349,-0.823450983669451,6821.786621
68,8.473,-0.8896054296535881,6822.086426
69,8.599,-0.9573939229269448,6821.958496
70,8.723,-0.9955235405127366,6821.602051
71,8.849,-1.02057835598681,6820.986816
72,8.974,-1.0108149158882798,6820.384766
73,9.098,-1.0112572870888428,6821.472168
74,9.225,-0.9809884609281903,6821.444336
75,9.348,-0.9510066183840711,6820.97168
76,9.475,-0.9115447729778562,6821.115234
77,9.598,-0.8652755627482828,6820.87207
78,9.724,-0.8586220955625147,6819.626953
79,9.848,-0.8478508551965597,6820.599609
80,9.973,-0.8316685504900988,6820.11377
81,10.099,-0.8402653925954628,6820.657227
82,10.223,-0.8528729764521212,6820.114258
83,10.349,-0.8437608745442797,6822.35791
84,10.473,-0.8157284085520523,6821.542969
85,10.598,-0.7927850130793468,6821.115234
86,10.724,-0.772566400418665,6821.328613
87,10.848,-0.7602684951082125,6822.27002
88,10.973,-0.772162119199812,6821.728516
89,11.099,-0.7714509295790993,6821.45752
90,11.223,-0.7768348557845783,6820.326172
91,11.349,-0.7531116935927574,6821.515625
92,11.473,-0.77359761930101,6821.600586
93,11.599,-0.803458286451732,6821.571777
94,11.723,-0.840842337736976,6821.370605
95,11.848,-0.8812927824952836,6821.328613
96,11.973,-0.9085946810659657,6820.785156
97,12.098,-0.9080915792539874,6821.241699
98,12.223,-0.8725105374971078,6821.48584
99,12.348,-0.8110957847936563,6821.571777
100,12.473,-0.7212733483239925,6822.057617
101,12.598,-0.6646476693543011,6820.483887
102,12.723,-0.6198384449154607,6821.328613
103,12.848,-0.5866703859003743,6821.786621
104,12.973,-0.5786028975259364,6821.057129
105,13.098,-0.5813207977412547,6821.398926
106,13.223,-0.5786815923628605,6821.728516
107,13.348,-0.5818896850281262,6821.187012
108,13.473,-0.5873041785623895,6821.057129
109,13.599,-0.5989838278259494,6821.758301
110,13.723,-0.6171319334768472,6820.542969
111,13.848,-0.6105232227952996,6820.699707
112,13.973,-0.5868504282380094,6822.001953
113,14.098,-0.5214153235120321,6821.48584
114,14.223,-0.46737443469963313,6822.299805
115,14.348,-0.4236174335910945,6820.970215
116,14.473,-0.40691053528315024,6820.027344
117,14.599,-0.48182112602243515,6820.998535
118,14.723,-0.6728107425147162,6822.945313
119,14.848,-0.8125904517714704,6822.758789
120,14.973,-0.97202535520179,6823.702637
121,15.098,-1.0021100573269386,6823.860352
122,15.223,-0.8575101342773294,6824.375488
123,15.348,-0.7259038826888426,6824.861328
124,15.473,-0.5373859941619697,6824.102539
125,15.598,-0.38374397861109044,6820.098145
126,15.723,-0.29534093075792983,6821.728027
127,15.848,-0.2561081836329677,6819.026367
128,15.973,-0.23284698544546134,6820.786133
129,16.098,-0.27345439037642566,6819.882813
130,16.223,-0.3255952024392796,6820.970215
131,16.348,-0.3386813311222634,6822.072754
132,16.473,-0.36398575250538673,6821.069824
133,16.598,-0.3799807272743559,6821.486328
134,16.723,-0.39134250723624603,6821.18457
135,16.849,-0.378868935178264,6820.456055
136,16.973,-0.4151838087687612,6820.940918
137,17.098,-0.42011026865803935,6820.341309
138,17.223,-0.4360487745196482,6819.697754
139,17.348,-0.4571515310634125,6820.42627
140,17.473,-0.45671672662255375,6819.425781
141,17.599,-0.49098307295729676,6819.339355
142,17.723,-0.5416420922358954,6819.826172
143,17.848,-0.5826470790172975,6819.882813
144,17.973,-0.6250879619824943,6819.85498
145,18.098,-0.7007779350072215,6820.183594
146,18.223,-0.7478312562072731,6819.223633
147,18.348,-0.7673433057313196,6819.368164
148,18.473,-0.7840790640263803,6820.040527
149,18.598,-0.7916047044689807,6819.135742
150,18.723,-0.7586795195285664,6820.012207
151,18.848,-0.7302966311196736,6819.281738
152,18.973,-0.6893637614746357,6819.554199
153,19.098,-0.6101010570033563,6818.495117
154,19.223,-0.5136236099206856,6819.796875
155,19.348,-0.4449846313250112,6819.310547
156,19.473,-0.4018395081330741,6820.254883
157,19.597,-0.3885341485125307,6820.225586
158,19.723,-0.45836165024924114,6819.882324
159,19.848,-0.5797341057877308,6819.63916
160,19.973,-0.6852713119434442,6819.194336
161,20.098,-0.7549788325064732,6819.953125
162,20.222,-0.760458218761806,6820.011719
163,20.349,-0.7369273867868205,6819.981445
164,20.472,-0.6678670399644518,6818.824707
165,20.597,-0.6116345721329108,6819.496582
166,20.722,-0.5843729563224889,6819.195801
167,20.848,-0.5630024234214384,6819.40918
168,20.973,-0.5546591332951698,6820.109375
169,21.098,-0.566679774625174,6818.865234
170,21.223,-0.5527714223673711,6820.80957
171,21.349,-0.5581447671231774,6819.467773
172,21.473,-0.5611243286540002,6819.73877
173,21.597,-0.5795447606438625,6819.953125
174,21.722,-0.5920894512552605,6819.651855
175,21.848,-0.5987797227998507,6818.980469
176,21.972,-0.6105118853062218,6820.109375
177,22.098,-0.6189555990131554,6819.838379
178,22.222,-0.6378928974485687,6819.838867
179,22.348,-0.6738130505985233,6820.995605
180,22.473,-0.7207864646560347,6820.410156
181,22.598,-0.752017349917962,6819.595215
182,22.722,-0.7645786826963084,6819.351563
183,22.848,-0.7562994328727571,6819.79541
184,22.972,-0.7248943083039892,6819.866699
185,23.097,-0.6994836416803046,6819.165527
186,23.223,-0.6972645548559233,6820.022949
187,23.348,-0.6993718599446908,6820.021973
188,23.473,-0.7418054816418169,6819.625
189,23.598,-0.7686101433932682,6819.40918
190,23.723,-0.7946107903246123,6820.421875
191,23.848,-0.7870441839880514,6820.624512
192,23.972,-0.7647236940540048,6820.537598
193,24.097,-0.7368677386142967,6821.75293
194,24.222,-0.7146414277248103,6820.450195
195,24.348,-0.6937431272779491,6819.994141
196,24.473,-0.6989341631884194,6822.452637
197,24.597,-0.7469486560734095,6821.237305
198,24.722,-0.818982861046816,6820.20752
199,24.848,-0.8798466328421696,6819.23584
200,24.972,-0.966258177372157,6815.765137
201,25.097,-1.0183508131880104,6814.852539
202,25.223,-1.0532920100050909,6814.523438
203,25.347,-1.0786828331677716,6813.155273
204,25.473,-1.067734147896498,6814.640625
205,25.598,-1.0707818376388087,6814.338867
206,25.723,-1.0687692624541065,6814.367676
207,25.847,-1.041958205083237,6814.523926
208,25.972,-1.0106384874549839,6813.796875
209,26.098,-0.9484798541969769,6814.253418
210,26.222,-0.8593636944160212,6815.794922
211,26.347,-0.7870482490642093,6815.581543
212,26.472,-0.7310717883962832,6815.980957
213,26.597,-0.7139786949998806,6815.066895
214,26.722,-0.7510807200408495,6816.251465
215,26.847,-0.8267881199823349,6816.251953
216,26.972,-0.9078042619948674,6815.453613
217,27.097,-0.9711696252204036,6815.367188
218,27.222,-0.9984204399541031,6815.095703
219,27.347,-0.9637191266589237,6815.039063
220,27.472,-0.9035330287061268,6816.464844
221,27.597,-0.8464619160760997,6814.338867
222,27.722,-0.8230132964753026,6815.25293
223,27.847,-0.8171951242706295,6814.709961
224,27.972,-0.8359771374830303,6815.279297
225,28.097,-0.8566915219218884,6815.252441
226,28.222,-0.8556830966186009,6815.250488
227,28.347,-0.8513105012413513,6816.010254
228,28.472,-0.8524177377610277,6815.310547
229,28.597,-0.8601813011829147,6815.008789
230,28.722,-0.8753039059150375,6815.194336
231,28.847,-0.9315945458341326,6815.407715
232,28.972,-0.9990486993549735,6816.494141
233,29.098,-1.0541446693992147,6816.037109
234,29.222,-1.0751257574361661,6814.852539
235,29.347,-1.046707386719057,6814.408691
236,29.472,-0.9862952500176555,6814.624023
237,29.597,-0.8931144050381217,6814.466309
238,29.722,-0.8208472370323034,6814.865234
239,29.847,-0.7849534223376117,6814.952637
240,29.972,-0.8150987951840226,6814.224121
241,30.097,-0.9600105445260629,6814.4375
242,30.223,-1.1048622494752252,6814.225098
243,30.347,-1.2339204119113933,6814.407715
244,30.472,-1.3469816089363067,6814.40918
245,30.597,-1.3345521551388797,6814.679688
246,30.722,-1.2160274839021807,6814.4375
247,30.847,-1.1053792923192582,6815.106934
248,30.972,-0.9458768822226732,6815.378906
249,31.098,-0.8291440284026409,6814.137695
250,31.222,-0.8493001586797958,6815.165039
251,31.347,-0.8601485619578635,6816.165527
252,31.472,-0.8908701114924634,6813.609863
253,31.597,-0.9431435321997105,6813.679688
254,31.722,-0.910139106938669,6814.708984
255,31.848,-0.8610209402085002,6814.494629
256,31.972,-0.8306513905673253,6815.192871
257,32.097,-0.7867559814342543,6814.407715
258,32.222,-0.7926735679932125,6814.408203
259,32.347,-0.8207551681207702,6814.92334
260,32.472,-0.8476177009174141,6815.62207
261,32.597,-0.8618721379558627,6816.862793
262,32.722,-0.8775151810505865,6815.980957
263,32.847,-0.8628641807893447,6816.408203
264,32.972,-0.8681577033695447,6817.049316
265,33.097,-0.8804619874330781,6817.450684
266,33.222,-0.888071722380165,6817.048828
267,33.347,-0.8886362192546865,6816.805664
268,33.472,-0.8900594442996949,6816.106934
269,33.597,-0.8799907613677272,6814.466797
270,33.722,-0.869815520302024,6813.865723
271,33.847,-0.8534860955870942,6812.865234
272,33.972,-0.8623171336576391,6813.680176
273,34.097,-0.8820052492651297,6813.650879
274,34.222,-0.9180206042771324,6814.408691
275,34.347,-0.9552242945519757,6814.166016
276,34.472,-0.983107590323822,6814.29248
277,34.597,-0.9610222993175588,6815.62207
278,34.722,-0.9218535626704343,6815.621094
279,34.847,-0.8956836324982266,6816.193359
280,34.972,-0.876282656147706,6815.679688
281,35.097,-0.9159615425443228,6815.708496
282,35.222,-0.9723127921362188,6815.921875
283,35.347,-1.015288709401694,6815.621582
284,35.472,-1.0580977827510352,6816.378418
285,35.597,-1.085711729333471,6815.135742
286,35.722,-1.0444275512448806,6816.350586
287,35.847,-0.9919031089951165,6816.649902
288,35.972,-0.9178254096844889,6816.164063
289,36.097,-0.863435396460529,6815.893555
290,36.222,-0.8128572971867455,6815.40918
291,36.347,-0.7835376596580397,6817.563477
292,36.472,-0.7659832326079121,6815.562988
293,36.597,-0.7650483223201309,6817.292969
294,36.722,-0.7635996272567765,6817.077148
295,36.846,-0.757083330870465,6816.836426
296,36.972,-0.7409418987275566,6817.049316
297,37.096,-0.7364246154647627,6816.933594
298,37.221,-0.738344069101569,6817.04834
299,37.347,-0.7327866093550073,6817.562988
300,37.471,-0.7501446960055415,6817.990234
301,37.597,-0.7510186559527972,6817.904785
302,37.721,-0.7564894407623252,6817.048828
303,37.846,-0.7432823749620834,6818.447754
304,37.971,-0.7204892038983459,6817.077148
305,38.096,-0.6847649484670508,6817.749023
306,38.221,-0.6468568445071197,6817.963379
307,38.347,-0.6235243945739979,6819.264648
308,38.471,-0.6383270015296276,6817.53418
309,38.597,-0.6828492949255947,6817.661133
310,38.721,-0.7618239341839874,6817.93457
311,38.847,-0.8209447200783054,6817.505371
312,38.972,-0.8561012601468158,6817.992676
313,39.096,-0.8497470248896644,6818.26416
314,39.222,-0.8120167318909188,6818.234863
315,39.347,-0.7796752367793818,6819.235352
316,39.472,-0.733208479646735,6818.477539
317,39.596,-0.7471002254157812,6817.905762
318,39.721,-0.7602705300185276,6818.176758
319,39.846,-0.7894043717974493,6818.963867
320,39.972,-0.8027363178156519,6818.605469
