序号,时间(s),电压,阻抗
1,0.105,1.0106333483340748,7298.945313
2,0.231,1.3050311448059913,7299.219238
3,0.357,1.4631736208279225,7296.679199
4,0.483,1.4713237663749563,7300.649414
5,0.609,1.5325979465099369,7300.03125
6,0.735,1.4546770956140722,7295.272949
7,0.861,1.4254328983525326,7299.366211
8,0.987,1.3745004826684735,7301.156738
9,1.113,1.4235711462765006,7301.358398
10,1.239,1.4128432850785904,7296.557617
11,1.365,1.4599681979945642,7298.412109
12,1.491,1.4960456752146698,7298.316895
13,1.617,1.5997857255092578,7300.446777
14,1.743,1.6111859080447228,7301.178223
15,1.869,1.6816718806642132,7298.000977
16,1.995,1.7415648709249274,7298.183594
17,2.121,1.706711871409721,7296.200684
18,2.247,1.714798797652839,7298.825195
19,2.373,1.6289416466267899,7297.307617
20,2.499,1.4705424833451493,7297.415039
21,2.625,1.2241414393504781,7303.870117
22,2.751,1.0410783085270396,7292.321777
23,2.877,0.8862634561150676,7297.672363
24,3.003,0.8037693869294346,7299.144531
25,3.129,0.8304075203578605,7296.225098
26,3.255,1.0117985066914241,7305.391113
27,3.381,1.3171278580307886,7299.148926
28,3.507,1.7110827136920463,7300.689453
29,3.633,2.1393499716511544,7299.584961
30,3.759,2.5395684881261604,7298.411621
31,3.885,2.778164814581305,7297.30957
32,4.011,2.9229546431292723,7298.987793
33,4.137,2.8767093271148116,7299.451172
34,4.263,2.6718622399672776,7296.22998
35,4.389,2.404413988849876,7298.47168
36,4.515,2.0864220281757766,7296.716309
37,4.641,1.7154850742120566,7296.084961
38,4.767,1.3685211930103847,7293.741699
39,4.892,0.932228849820102,7303.068848
40,5.019,0.7244831511927001,7296.050781
41,5.145,0.580738862884669,7296.387207
42,5.271,0.5818536644880531,7298.984863
43,5.396,0.8355579209942138,7300.669434
44,5.523,1.0328349458037076,7299.306641
45,5.648,1.2641631394545219,7295.816406
46,5.775,1.490513919722527,7296.668457
47,5.9,1.6704637920698677,7294.66748
48,6.026,1.7478428830442498,7299.615234
49,6.153,1.6878008664849065,7299.376465
50,6.279,1.5445229691493003,7293.787109
51,6.405,1.3324610935299377,7297.340332
52,6.531,1.0599806386461903,7296.874023
53,6.657,0.9136262271901849,7302.516113
54,6.783,0.7862877647454439,7296.874023
55,6.909,0.7701313744679846,7292.69043
56,7.034,0.9339772202225557,7297.871582
57,7.161,1.1156921014428125,7298.515137
58,7.287,1.3610409909526575,7294.811523
59,7.413,1.5708195273962222,7297.978027
60,7.538,1.7277306395134657,7300.328125
61,7.664,1.7989999314061529,7298.496582
62,7.79,1.7278045453379722,7298.134766
63,7.917,1.6753088279467132,7297.973145
64,8.042,1.5227545867345236,7295.468262
65,8.169,1.1617937618834213,7297.896484
66,8.294,0.8106052767338806,7297.064453
67,8.42,0.38738456512608216,7294.84082
68,8.546,0.007239824765526863,7296.841797
69,8.672,-0.24986439605995675,7298.823242
70,8.798,-0.3733423126728064,7300.128418
71,8.924,-0.3190564717245076,7303.264648
72,9.05,-0.18572559325854798,7299.047363
73,9.176,0.11653435558036103,7297.723633
74,9.303,0.43712089910563906,7297.928711
75,9.429,0.7452057108042681,7298.307617
76,9.554,0.9582456398337658,7298.050781
77,9.68,1.05825831025742,7298.264648
78,9.807,1.0278363833641908,7298.657227
79,9.932,0.8331857937445776,7300.172852
80,10.058,0.6546061829614342,7298.478027
81,10.184,0.4889166567855734,7297.45166
82,10.31,0.4084292746262372,7301.384766
83,10.436,0.5106974562373221,7297.835938
84,10.562,0.6184043098138958,7299.849121
85,10.689,0.848336871486974,7295.391602
86,10.814,1.1427419330316395,7294.984863
87,10.941,1.368695754914756,7299.282227
88,11.066,1.5353246091554946,7297.984375
89,11.192,1.6509539995137683,7296.17041
90,11.319,1.588619960615124,7297.280762
91,11.444,1.3873781625951709,7296.213867
92,11.57,1.067079051581876,7298.956055
93,11.697,0.6859522339433621,7297.013184
94,11.822,0.4766828482152123,7299.484863
95,11.948,0.31877634082616996,7298.427246
96,12.074,0.3872040837019765,7299.491211
97,12.2,0.4352881459463592,7298.07959
98,12.326,0.6611083321847675,7301.767578
99,12.452,0.9288232794994824,7299.262695
